route,id,name,lat,lon,type,altitude,height,width
SBSP-VP-003 (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-003 (Parallel 1),2,CLUBE_SIRIO,-23.60810696321042,-46.65030859567146,Waypoint,1219,305,457
SBSP-VP-003 (Parallel 1),3,CEBOLINHA,-23.58942479022261,-46.64805385065563,Waypoint,1219,305,457
SBSP-VP-003 (Parallel 1),4,VP-003,-23.5911111111111,-46.6855555555556,Vertiport,760,305,457
SBSP-VP-003 (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-003 (Parallel 2),2,CLUBE_SIRIO,-23.607448592345182,-46.65524695988414,Waypoint,1219,305,457
SBSP-VP-003 (Parallel 2),3,CEBOLINHA,-23.593908543110793,-46.65361281601098,Waypoint,1219,305,457
SBSP-VP-003 (Parallel 2),4,VP-003,-23.5911111111111,-46.6855555555556,Vertiport,760,305,457
SBSP-VP-004 (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-004 (Parallel 1),2,CLUBE_SIRIO,-23.60810696321042,-46.65030859567146,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 1),3,CEBOLINHA,-23.591117019552055,-46.64825808522988,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 1),4,Geometric GN_133,-23.580448517696226,-46.6556796985332,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),5,Geometric GN_134,-23.570097488954858,-46.66846165069117,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),6,Geometric GN_135,-23.561058901362248,-46.676753247573586,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),7,Geometric GN_136,-23.556809899514626,-46.67893676241192,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),8,Geometric GN_137,-23.55371221376462,-46.677016197246964,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),9,VD_ANTARTICA,-23.522995162798267,-46.667722999370795,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 1),10,Geometric GN_30,-23.5213534865182,-46.67608271735251,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),11,Geometric GN_29,-23.52029907971026,-46.68240915820047,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),12,Geometric GN_28,-23.519275355595877,-46.69182742005227,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),13,Geometric GN_27,-23.517682496079757,-46.69819885811685,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),14,Geometric GN_26,-23.514321479588634,-46.708912098182346,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 1),15,MARCO_ZERO,-23.512296194319728,-46.72485480432765,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 1),16,Geometric GN_31,-23.514022994171626,-46.735263320477685,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 1),17,Geometric GN_32,-23.51412521440881,-46.7454532607564,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 1),18,Geometric GN_33,-23.509453432119745,-46.75809802321997,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 1),19,Geometric GN_34,-23.500832318592792,-46.761453530510536,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 1),20,Geometric GN_35,-23.499507422000907,-46.762902676244245,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 1),21,Geometric GN_36,-23.496717011493725,-46.77076998893733,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 1),22,PAO_DE_ACUCAR,-23.489930917128433,-46.7748460980334,Waypoint,914.4,305,457
SBSP-VP-004 (Parallel 1),23,VP-004,-23.4786111111111,-46.7811111111111,Vertiport,760,305,457
SBSP-VP-004 (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-004 (Parallel 2),2,CLUBE_SIRIO,-23.607448592345182,-46.65524695988414,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 2),3,CEBOLINHA,-23.592216313781346,-46.65340858143673,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 2),4,Geometric GN_133,-23.583449155568573,-46.659507512561596,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),5,Geometric GN_134,-23.573299552905944,-46.67204073403143,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),6,Geometric GN_135,-23.56354589504475,-46.68098830446601,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),7,Geometric GN_136,-23.556612734308374,-46.68455117873327,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),8,Geometric GN_137,-23.551945029374984,-46.68165720167463,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),9,VD_ANTARTICA,-23.52644928164613,-46.6739436672958,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 2),10,Geometric GN_30,-23.5258389929876,-46.67705136954789,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),11,Geometric GN_29,-23.52482262894674,-46.68314955379333,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),12,Geometric GN_28,-23.52377558221212,-46.69278238375133,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),13,Geometric GN_27,-23.52205520837004,-46.69966387911975,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),14,Geometric GN_26,-23.518789758144766,-46.71007250171285,Geometric Node,1219,305,457
SBSP-VP-004 (Parallel 2),15,MARCO_ZERO,-23.516592694569074,-46.727367417894556,Waypoint,1219,305,457
SBSP-VP-004 (Parallel 2),16,Geometric GN_31,-23.518480331799573,-46.737620862360394,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 2),17,Geometric GN_32,-23.518659009094304,-46.74633254723625,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 2),18,Geometric GN_33,-23.51307726344506,-46.76223814762554,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 2),19,Geometric GN_34,-23.503138252853418,-46.7659596921844,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 2),20,Geometric GN_35,-23.503510600518236,-46.76561730974362,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 2),21,Geometric GN_36,-23.50047341900809,-46.77432366965997,Geometric Node,914.4,305,457
SBSP-VP-004 (Parallel 2),22,PAO_DE_ACUCAR,-23.493073140423256,-46.77872546080176,Waypoint,914.4,305,457
SBSP-VP-004 (Parallel 2),23,VP-004,-23.4786111111111,-46.7811111111111,Vertiport,760,305,457
SBSP-VP-005 (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-005 (Parallel 1),2,WASHINGTON_LUIS,-23.630563721805622,-46.66859946540812,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 1),3,Geometric GN_144,-23.621466646799245,-46.676353438144154,Geometric Node,1219,305,457
SBSP-VP-005 (Parallel 1),4,Geometric GN_143,-23.613248832428837,-46.686955696062455,Geometric Node,1219,305,457
SBSP-VP-005 (Parallel 1),5,PONTE_ESTAIADA,-23.610516853220588,-46.69903042810522,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 1),6,AVENIDA_MORUMBI,-23.609389520520164,-46.71255842051052,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 1),7,EXTRA_TABOAO,-23.606354090644885,-46.75119116437716,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 1),8,RODOANEL_RAPOSO,-23.59027412529078,-46.80869748115197,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 1),9,VP-005,-23.5647222222222,-46.8302777777778,Vertiport,760,305,457
SBSP-VP-005 (Parallel 2),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-005 (Parallel 2),2,WASHINGTON_LUIS,-23.63665850041658,-46.669733867925274,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 2),3,Geometric GN_144,-23.624653353200753,-46.67996656185584,Geometric Node,1219,305,457
SBSP-VP-005 (Parallel 2),4,Geometric GN_143,-23.617431167571162,-46.68928430393754,Geometric Node,1219,305,457
SBSP-VP-005 (Parallel 2),5,PONTE_ESTAIADA,-23.615038702335013,-46.69985846078359,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 2),6,AVENIDA_MORUMBI,-23.613943812813236,-46.712997135045086,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 2),7,EXTRA_TABOAO,-23.610868131577313,-46.75214216895624,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 2),8,RODOANEL_RAPOSO,-23.594170319153623,-46.81185807440363,Waypoint,1219,305,457
SBSP-VP-005 (Parallel 2),9,VP-005,-23.5647222222222,-46.8302777777778,Vertiport,760,305,457
SBSP-VP-006 (Parallel 1),1,SBSP,-23.626111,-46.656389,Airport,760,305,457
SBSP-VP-006 (Parallel 1),2,WASHINGTON_LUIS,-23.630563721805622,-46.66859946540812,Waypoint,1219,305,457
